id,grade,mainIconId,subIconId,abilityNameText,abilityDescriptionText,animationName,skinType,skinName,abilityType,abilityEndTime,chainId,usablePositionMin,usablePositionMax,abilityEffectId
Abl_E_CaterpillarsMochi_01_Attack,1,-99999,-99999,-99999,[-99999;-99999;-99999],Attack,None,-99999,MainWeapon,0.8,XX_1,0,0,[AblEff_E_CaterpillarsMochi_01_Attack_0;AblEff_E_CaterpillarsMochi_01_Attack_0;AblEff_E_CaterpillarsMochi_01_Attack_0;-99999;-99999;-99999;-99999;-99999;-99999;-99999]
Abl_E_CaterpillarsMochi_02_Attack,1,-99999,-99999,-99999,[-99999;-99999;-99999],Attack,None,-99999,MainWeapon,0.8,XX_1,0,0,[AblEff_E_CaterpillarsMochi_02_Attack_0;AblEff_E_CaterpillarsMochi_02_Attack_0;AblEff_E_CaterpillarsMochi_02_Attack_0;-99999;-99999;-99999;-99999;-99999;-99999;-99999]
Abl_E_CaterpillarsMochi_Boss_01_Attack,1,-99999,-99999,-99999,[-99999;-99999;-99999],Attack,None,-99999,MainWeapon,2.333,XX_1,0,0,[AblEff_E_CaterpillarsMochi_Boss_01_Attack_0;AblEff_E_CaterpillarsMochi_Boss_01_Attack_0;-99999;AblEff_E_CaterpillarsMochi_Boss_01_Attack_0;AblEff_E_CaterpillarsMochi_Boss_01_Attack_0;-99999;AblEff_E_CaterpillarsMochi_Boss_01_Attack_0;AblEff_E_CaterpillarsMochi_Boss_01_Attack_0;-99999;-99999]
Abl_E_CaterpillarsMochi_Boss_01_Skill1,1,-99999,-99999,-99999,[-99999;-99999;-99999],Skill,None,-99999,MainWeapon,1.333,XX_1,0,0,[AblEff_E_CaterpillarsMochi_Boss_01_Skill1_0;-99999;-99999;-99999;-99999;-99999;-99999;-99999;-99999;-99999]
Abl_E_CrabCoconut_01_Attack,1,-99999,-99999,-99999,[-99999;-99999;-99999],Attack,None,-99999,MainWeapon,0.8,XX_1,0,0,[AblEff_E_CrabCoconut_01_Attack_0;AblEff_E_CrabCoconut_01_Attack_0;-99999;-99999;-99999;-99999;-99999;-99999;-99999;-99999]
Abl_E_CrabCoconut_01_Skill,1,-99999,-99999,-99999,[-99999;-99999;-99999],Skill,None,-99999,MainWeapon,0.7,XX_1,1,1,[AblEff_E_CrabCoconut_01_Skill_0;-99999;-99999;-99999;-99999;-99999;-99999;-99999;-99999;-99999]
Abl_E_CrabCoconut_02_Attack,1,-99999,-99999,-99999,[-99999;-99999;-99999],Attack,None,-99999,MainWeapon,0.8,XX_1,0,0,[AblEff_E_CrabCoconut_02_Attack_0;AblEff_E_CrabCoconut_02_Attack_0;-99999;-99999;-99999;-99999;-99999;-99999;-99999;-99999]
Abl_E_CrabCoconut_02_Skill,1,-99999,-99999,-99999,[-99999;-99999;-99999],Skill,None,-99999,MainWeapon,0.7,XX_1,1,1,[AblEff_E_CrabCoconut_02_Skill_0;-99999;-99999;-99999;-99999;-99999;-99999;-99999;-99999;-99999]
Abl_E_FriedRice_01_Attack,1,-99999,-99999,-99999,[-99999;-99999;-99999],Attack,None,-99999,MainWeapon,0.833,XX_1,0,2,[AblEff_E_FriedRice_01_Attack_0;-99999;-99999;-99999;-99999;-99999;-99999;-99999;-99999;-99999]
Abl_E_FriedRice_02_Attack,1,-99999,-99999,-99999,[-99999;-99999;-99999],Attack2,None,-99999,MainWeapon,0.833,XX_1,0,2,[AblEff_E_FriedRice_02_Attack_0;AblEff_E_FriedRice_02_Attack_0;-99999;-99999;-99999;-99999;-99999;-99999;-99999;-99999]
Abl_E_FriedRice_Boss_01_Attack,1,-99999,-99999,-99999,[-99999;-99999;-99999],Attack,None,-99999,MainWeapon,2.133,XX_1,0,2,[AblEff_E_FriedRice_Boss_01_Attack_0;AblEff_E_FriedRice_Boss_01_Attack_0;-99999;AblEff_E_FriedRice_Boss_01_Attack_0;AblEff_E_FriedRice_Boss_01_Attack_0;-99999;AblEff_E_FriedRice_Boss_01_Attack_0;AblEff_E_FriedRice_Boss_01_Attack_0;-99999;-99999]
Abl_E_FriedRice_Boss_01_Attack2,1,-99999,-99999,-99999,[-99999;-99999;-99999],Attack2,None,-99999,MainWeapon,1.1,XX_1,0,0,[AblEff_E_FriedRice_Boss_01_Attack2_0;AblEff_E_FriedRice_Boss_01_Attack2_0;AblEff_E_FriedRice_Boss_01_Attack2_0;-99999;-99999;-99999;-99999;-99999;-99999;-99999]
