id,XX,XA,AA,AX,XB,BB,BX,AB,BA
Left_1,5000,750,250,1250,750,250,1250,250,250
Left_2,3500,975,325,1625,975,325,1625,325,325
Left_3,2000,1200,400,2000,1200,400,2000,400,400
All_1,5000,750,500,750,750,500,750,500,500
All_2,3500,975,650,975,975,650,975,650,650
All_3,2000,1200,800,1200,1200,800,1200,800,800
Right_1,5000,1250,250,750,1250,250,750,250,250
Right_2,3500,1625,325,975,1625,325,975,325,325
Right_3,2000,2000,400,1200,2000,400,1200,400,400
XX_1,10000,0,0,0,0,0,0,0,0
XX_2,10000,0,0,0,0,0,0,0,0
XX_3,10000,0,0,0,0,0,0,0,0
AA_1,5000,1750,1500,1750,0,0,0,0,0
AA_2,3500,2275,1950,2275,0,0,0,0,0
AA_3,2000,2800,2400,2800,0,0,0,0,0
BB_1,5000,0,0,0,1750,1500,1750,0,0
BB_2,3500,0,0,0,2275,1950,2275,0,0
BB_3,2000,0,0,0,2800,2400,2800,0,0
AB_1,5000,0,0,1750,1750,0,0,1500,0
AB_2,3500,0,0,2275,2275,0,0,1950,0
AB_3,2000,0,0,2800,2800,0,0,2400,0
BA_1,5000,1750,0,0,0,0,1750,0,1500
BA_2,3500,2275,0,0,0,0,2275,0,1950
BA_3,2000,2800,0,0,0,0,2800,0,2400
