id,attackObjectId,isRanged,targetSideType,targetMin,targetMax,targetDetailType,actionVfxId,actionSfxId,damageVfxId,damageSfxId,cameraShakeId,damageParticlePointId,effectAreaMin,effectAreaMax,statusEffectType,abilityEffectValue,stringValues
AblEff_E_CaterpillarsMochi_01_Attack_0,-99999,FALSE,Enemy,0,0,Closest1,-99999,-99999,VFX_Hit_Air_Light_0,SFX_Hit_Air_Light_PunchSomeCrackAndThud_F56yM_02,-99999,Default,0,0,[Damage;None;None;None;None],[1;0;0;0;0],[-99999;-99999;-99999;-99999;-99999]
AblEff_E_CaterpillarsMochi_02_Attack_0,-99999,FALSE,Enemy,0,0,Closest1,-99999,-99999,VFX_Hit_Air_Light_0,SFX_Hit_Air_Light_PunchSomeCrackAndThud_F56yM_02,-99999,Default,0,0,[Damage;None;None;None;None],[1;0;0;0;0],[-99999;-99999;-99999;-99999;-99999]
AblEff_E_CaterpillarsMochi_Boss_01_Attack_0,-99999,FALSE,Enemy,0,0,Closest1,-99999,-99999,VFX_Hit_Air_Medium_0,SFX_Hit_Air_Medium_SharpBodyHit_UQc1P_03,-99999,Default,0,0,[Damage;None;None;None;None],[1;0;0;0;0],[-99999;-99999;-99999;-99999;-99999]
AblEff_E_CaterpillarsMochi_Boss_01_Skill1_0,-99999,FALSE,Ally,0,2,All,-99999,-99999,-99999,-99999,Shake_Medium,Default,0,0,[Summon;None;None;None;None],[1;0;0;0;0],[E_CaterpillarsMochi_01;E_CaterpillarsMochi_01;E_CaterpillarsMochi_01;-99999;-99999]
AblEff_E_CrabCoconut_01_Attack_0,-99999,FALSE,Enemy,0,0,Closest1,-99999,-99999,VFX_Hit_Air_Medium_0,SFX_Hit_Air_Medium_SharpBodyHit_UQc1P_03,-99999,Default,0,0,[Damage;None;None;None;None],[1;0;0;0;0],[-99999;-99999;-99999;-99999;-99999]
AblEff_E_CrabCoconut_01_Skill_0,-99999,FALSE,Self,0,0,Closest1,-99999,-99999,-99999,-99999,-99999,Default,0,0,[Shield;None;None;None;None],[1;0;0;0;0],[-99999;-99999;-99999;-99999;-99999]
AblEff_E_CrabCoconut_02_Attack_0,-99999,FALSE,Enemy,0,0,Closest1,-99999,-99999,VFX_Hit_Air_Medium_0,SFX_Hit_Air_Medium_SharpBodyHit_UQc1P_03,-99999,Default,0,0,[Damage;None;None;None;None],[1;0;0;0;0],[-99999;-99999;-99999;-99999;-99999]
AblEff_E_CrabCoconut_02_Skill_0,-99999,FALSE,Self,0,0,Closest1,-99999,-99999,-99999,-99999,-99999,Default,0,0,[Shield;None;None;None;None],[1;0;0;0;0],[-99999;-99999;-99999;-99999;-99999]
AblEff_E_FriedRice_01_Attack_0,AO_E_FriedRice_01,TRUE,Enemy,0,0,Closest1,-99999,-99999,VFX_Hit_Air_Medium_0,SFX_Hit_Air_Medium_SharpBodyHit_UQc1P_03,-99999,Default,0,0,[Damage;None;None;None;None],[1;0;0;0;0],[-99999;-99999;-99999;-99999;-99999]
AblEff_E_FriedRice_02_Attack_0,AO_E_FriedRice_02,TRUE,Enemy,0,0,Closest1,-99999,-99999,VFX_Hit_Air_Medium_0,SFX_Hit_Air_Medium_SharpBodyHit_UQc1P_03,-99999,Default,0,0,[Damage;None;None;None;None],[1;0;0;0;0],[-99999;-99999;-99999;-99999;-99999]
AblEff_E_FriedRice_Boss_01_Attack_0,AO_E_FriedRice_Boss_01,TRUE,Enemy,0,0,Closest1,-99999,-99999,VFX_Hit_Air_Medium_0,SFX_Hit_Air_Medium_SharpBodyHit_UQc1P_03,-99999,Default,0,0,[Damage;None;None;None;None],[1;0;0;0;0],[-99999;-99999;-99999;-99999;-99999]
AblEff_E_FriedRice_Boss_01_Attack2_0,-99999,FALSE,Enemy,0,0,Closest1,-99999,-99999,VFX_Hit_Ground_Heavy_0,SFX_Hit_Ground_Heavy_06401_kick_combat_hit,-99999,Ground,0,0,[Damage;None;None;None;None],[1;0;0;0;0],[-99999;-99999;-99999;-99999;-99999]
AblEff_E_TurtleBread_01_Attack_0,-99999,FALSE,Enemy,0,0,Closest1,-99999,-99999,VFX_Hit_Ground_Light_0,SFX_Hit_Ground_Light_PunchSomeCrackAndThud_F56yM_05,-99999,Ground,0,0,[Damage;None;None;None;None],[1;0;0;0;0],[-99999;-99999;-99999;-99999;-99999]
AblEff_E_TurtleBread_01_Attack_1,-99999,FALSE,Enemy,0,0,Closest1,-99999,-99999,VFX_Hit_Ground_Light_0,SFX_Hit_Ground_Light_PunchSomeCrackAndThud_F56yM_05,-99999,Ground,0,0,[BurningOil;None;None;None;None],[1;0;0;0;0],[-99999;-99999;-99999;-99999;-99999]
AblEff_E_TurtleBread_02_Attack_0,-99999,FALSE,Enemy,0,0,Closest1,-99999,-99999,VFX_Hit_Ground_Light_0,SFX_Hit_Ground_Light_PunchSomeCrackAndThud_F56yM_05,-99999,Ground,0,0,[Damage;None;None;None;None],[1;0;0;0;0],[-99999;-99999;-99999;-99999;-99999]
AblEff_E_TurtleBread_02_Attack_1,-99999,FALSE,Enemy,0,0,Closest1,-99999,-99999,VFX_Hit_Ground_Light_0,SFX_Hit_Ground_Light_PunchSomeCrackAndThud_F56yM_05,-99999,Ground,0,0,[BurningOil;None;None;None;None],[1;0;0;0;0],[-99999;-99999;-99999;-99999;-99999]
AblEff_E_TurtleBread_Boss_01_Attack_0,-99999,FALSE,Enemy,0,0,Closest1,-99999,-99999,VFX_Hit_Ground_Medium_0,SFX_Hit_Ground_Medium_PunchSomeCrackAndThud_F56yM_07,-99999,Ground,0,0,[Damage;None;None;None;None],[1;0;0;0;0],[-99999;-99999;-99999;-99999;-99999]
AblEff_E_TurtleBread_Boss_01_Attack_1,-99999,FALSE,Enemy,0,0,Closest1,-99999,-99999,VFX_Hit_Ground_Medium_0,SFX_Hit_Ground_Medium_PunchSomeCrackAndThud_F56yM_07,-99999,Ground,0,0,[BurningOil;None;None;None;None],[1;0;0;0;0],[-99999;-99999;-99999;-99999;-99999]
AblEff_E_TurtleBread_Boss_01_Skill_0,-99999,FALSE,Enemy,0,0,Closest1,-99999,-99999,VFX_Hit_Ground_Heavy_0,SFX_Hit_Ground_Heavy_06401_kick_combat_hit,Shake_Heavy,Ground,0,0,[Damage;None;None;None;None],[3;0;0;0;0],[-99999;-99999;-99999;-99999;-99999]
AblEff_P_BasicAttack_G0_0,-99999,FALSE,Enemy,0,0,Closest1,-99999,-99999,VFX_Hit_Air_Light_0,SFX_Hit_Air_Light_PunchSomeCrackAndThud_F56yM_02,-99999,Default,0,0,[Damage;None;None;None;None],[1;0;0;0;0],[-99999;-99999;-99999;-99999;-99999]
AblEff_P_LeapAttack_G1_0,-99999,FALSE,Enemy,0,0,Closest1,-99999,-99999,VFX_Hit_Ground_Medium_0,SFX_Hit_Ground_Medium_PunchSomeCrackAndThud_F56yM_07,Shake_Light,Ground,0,0,[Damage;None;None;None;None],[4;0;0;0;0],[-99999;-99999;-99999;-99999;-99999]
AblEff_P_LeapAttackWide_G2_0,-99999,FALSE,Enemy,0,0,Closest1,-99999,-99999,VFX_Hit_Ground_Medium_0,SFX_Hit_Ground_Medium_PunchSomeCrackAndThud_F56yM_07,Shake_Light,Ground,0,1,[Damage;None;None;None;None],[4;0;0;0;0],[-99999;-99999;-99999;-99999;-99999]
AblEff_P_LeapAttackWide_G3_0,-99999,FALSE,Enemy,0,0,Closest1,-99999,-99999,VFX_Hit_Ground_Medium_0,SFX_Hit_Ground_Medium_PunchSomeCrackAndThud_F56yM_07,Shake_Light,Ground,0,2,[Damage;None;None;None;None],[4;0;0;0;0],[-99999;-99999;-99999;-99999;-99999]
AblEff_P_LeapAttackChili_G2_0,-99999,FALSE,Enemy,0,0,Closest1,-99999,-99999,VFX_Hit_Ground_Medium_0,SFX_Hit_Ground_Medium_PunchSomeCrackAndThud_F56yM_07,Shake_Light,Ground,0,0,[Damage;None;None;None;None],[4;0;0;0;0],[-99999;-99999;-99999;-99999;-99999]
AblEff_P_LeapAttackChili_G2_1,-99999,FALSE,Self,0,0,Closest1,-99999,-99999,-99999,-99999,-99999,-99999,0,0,[BombChili;None;None;None;None],[2;0;0;0;0],[-99999;-99999;-99999;-99999;-99999]
AblEff_P_LeapAttackChili_G3_0,-99999,FALSE,Enemy,0,0,Closest1,-99999,-99999,VFX_Hit_Ground_Medium_0,SFX_Hit_Ground_Medium_PunchSomeCrackAndThud_F56yM_07,Shake_Light,Ground,0,0,[Damage;None;None;None;None],[4;0;0;0;0],[-99999;-99999;-99999;-99999;-99999]
AblEff_P_LeapAttackChili_G3_1,-99999,FALSE,Self,0,0,Closest1,-99999,-99999,-99999,-99999,-99999,-99999,0,0,[BombChili;None;None;None;None],[3;0;0;0;0],[-99999;-99999;-99999;-99999;-99999]
AblEff_P_LeapAttackBurningOil_G2_0,-99999,FALSE,Enemy,0,0,Closest1,-99999,-99999,VFX_Hit_Ground_Medium_0,SFX_Hit_Ground_Medium_PunchSomeCrackAndThud_F56yM_07,Shake_Light,Ground,0,0,[Damage;BurningOil;None;None;None],[4;2;0;0;0],[-99999;-99999;-99999;-99999;-99999]
AblEff_P_LeapAttackBurningOil_G3_0,-99999,FALSE,Enemy,0,0,Closest1,-99999,-99999,VFX_Hit_Ground_Medium_0,SFX_Hit_Ground_Medium_PunchSomeCrackAndThud_F56yM_07,Shake_Light,Ground,0,0,[Damage;BurningOil;None;None;None],[4;3;0;0;0],[-99999;-99999;-99999;-99999;-99999]
AblEff_P_Swing_G1_0,-99999,FALSE,Enemy,0,0,Closest1,-99999,-99999,VFX_Hit_Air_Medium_0,SFX_Hit_Air_Medium_SharpBodyHit_UQc1P_03,-99999,Default,0,0,[Damage;None;None;None;None],[3;0;0;0;0],[-99999;-99999;-99999;-99999;-99999]
AblEff_P_SwingFreeze_G2_0,-99999,FALSE,Enemy,0,0,Closest1,-99999,-99999,VFX_Hit_Air_Medium_0,SFX_Hit_Air_Medium_SharpBodyHit_UQc1P_03,-99999,Default,0,0,[Freeze;Damage;None;None;None],[1;3;0;0;0],[-99999;-99999;-99999;-99999;-99999]
AblEff_P_SwingFreeze_G3_0,-99999,FALSE,Enemy,0,0,Closest1,-99999,-99999,VFX_Hit_Air_Medium_0,SFX_Hit_Air_Medium_SharpBodyHit_UQc1P_03,-99999,Default,0,0,[Freeze;Damage;None;None;None],[2;3;0;0;0],[-99999;-99999;-99999;-99999;-99999]
AblEff_P_SwingShield_G2_0,-99999,FALSE,Enemy,0,0,Closest1,-99999,-99999,VFX_Hit_Air_Medium_0,SFX_Hit_Air_Medium_SharpBodyHit_UQc1P_03,-99999,Default,0,0,[Damage;None;None;None;None],[3;0;0;0;0],[-99999;-99999;-99999;-99999;-99999]
AblEff_P_SwingShield_G2_1,-99999,FALSE,Self,0,0,Closest1,-99999,-99999,-99999,-99999,-99999,-99999,0,0,[Shield;None;None;None;None],[1;0;0;0;0],[-99999;-99999;-99999;-99999;-99999]
AblEff_P_SwingShield_G3_0,-99999,FALSE,Enemy,0,0,Closest1,-99999,-99999,VFX_Hit_Air_Medium_0,SFX_Hit_Air_Medium_SharpBodyHit_UQc1P_03,-99999,Default,0,0,[Damage;None;None;None;None],[3;0;0;0;0],[-99999;-99999;-99999;-99999;-99999]
AblEff_P_SwingShield_G3_1,-99999,FALSE,Self,0,0,Closest1,-99999,-99999,-99999,-99999,-99999,-99999,0,0,[Shield;None;None;None;None],[2;0;0;0;0],[-99999;-99999;-99999;-99999;-99999]
AblEff_P_PowerSlam_G1_0,-99999,FALSE,Enemy,0,0,Closest1,-99999,-99999,VFX_Hit_Ground_Heavy_0,SFX_Hit_Ground_Heavy_06401_kick_combat_hit,Shake_Heavy,Ground,0,0,[Damage;None;None;None;None],[9;0;0;0;0],[-99999;-99999;-99999;-99999;-99999]
AblEff_P_PowerSlamBurningOil_G2_0,-99999,FALSE,Enemy,0,0,Closest1,-99999,-99999,VFX_Hit_Ground_Heavy_0,SFX_Hit_Ground_Heavy_06401_kick_combat_hit,Shake_Heavy,Ground,0,0,[Damage;BurningOil;None;None;None],[9;3;0;0;0],[-99999;-99999;-99999;-99999;-99999]
AblEff_P_PowerSlamBurningOil_G3_0,-99999,FALSE,Enemy,0,0,Closest1,-99999,-99999,VFX_Hit_Ground_Heavy_0,SFX_Hit_Ground_Heavy_06401_kick_combat_hit,Shake_Heavy,Ground,0,0,[Damage;BurningOil;None;None;None],[12;5;0;0;0],[-99999;-99999;-99999;-99999;-99999]
AblEff_PowerSlamCoconutShield_G2_0,-99999,FALSE,Enemy,0,0,Closest1,-99999,-99999,VFX_Hit_Ground_Heavy_0,SFX_Hit_Ground_Heavy_06401_kick_combat_hit,Shake_Heavy,Ground,0,0,[Damage;None;None;None;None],[9;0;0;0;0],[-99999;-99999;-99999;-99999;-99999]
AblEff_PowerSlamCoconutShield_G2_1,-99999,FALSE,Self,0,0,Closest1,-99999,-99999,-99999,-99999,-99999,-99999,0,0,[Shield;None;None;None;None],[3;0;0;0;0],[-99999;-99999;-99999;-99999;-99999]
AblEff_PowerSlamCoconutShield_G3_0,-99999,FALSE,Enemy,0,0,Closest1,-99999,-99999,VFX_Hit_Ground_Heavy_0,SFX_Hit_Ground_Heavy_06401_kick_combat_hit,Shake_Heavy,Ground,0,0,[Damage;None;None;None;None],[12;0;0;0;0],[-99999;-99999;-99999;-99999;-99999]
AblEff_PowerSlamCoconutShield_G3_1,-99999,FALSE,Self,0,0,Closest1,-99999,-99999,-99999,-99999,-99999,-99999,0,0,[Shield;None;None;None;None],[5;0;0;0;0],[-99999;-99999;-99999;-99999;-99999]
AblEff_PowerSlamWide_G2_0,-99999,FALSE,Enemy,0,0,Closest1,-99999,-99999,VFX_Hit_Ground_Heavy_0,SFX_Hit_Ground_Heavy_06401_kick_combat_hit,Shake_Heavy,Ground,0,1,[Damage;None;None;None;None],[9;0;0;0;0],[-99999;-99999;-99999;-99999;-99999]
AblEff_PowerSlamWide_G3_0,-99999,FALSE,Enemy,0,0,Closest1,-99999,-99999,VFX_Hit_Ground_Heavy_0,SFX_Hit_Ground_Heavy_06401_kick_combat_hit,Shake_Heavy,Ground,0,2,[Damage;None;None;None;None],[9;0;0;0;0],[-99999;-99999;-99999;-99999;-99999]
AblEff_P_TeaForkShoot_G1_0,AO_P_TeaFork,TRUE,Enemy,0,3,Random1,-99999,SFX_Ability_TeaforkShoot_knife_throw_01,VFX_Hit_Air_Light_TeaForkShoot_0,SFX_Hit_TeaForkShoot_Puzzle_Game_Accent_Boing_03,-99999,Default,0,0,[Damage;None;None;None;None],[1.2;0;0;0;0],[-99999;-99999;-99999;-99999;-99999]
AblEff_P_TeaForkShootEnergyDrink_G2_0,AO_P_TeaFork,TRUE,Enemy,0,3,Random1,-99999,SFX_Ability_TeaforkShoot_knife_throw_01,VFX_Hit_Air_Light_TeaForkShoot_0,SFX_Hit_TeaForkShoot_Puzzle_Game_Accent_Boing_03,-99999,Default,0,0,[Damage;None;None;None;None],[1.2;0;0;0;0],[-99999;-99999;-99999;-99999;-99999]
