abilityId,choiceType,weight
Abl_P_LeapAttack_G1,Ability,[9334;6000;3360;2567;1867]
Abl_P_LeapAttackWide_G2,Ability,[400;600;630;674;700]
Abl_P_LeapAttackWide_G3,Ability,[100;150;210;289;350]
Abl_P_LeapAttackChili_G2,Ability,[400;600;630;674;700]
Abl_P_LeapAttackChili_G3,Ability,[100;150;210;289;350]
Abl_P_LeapAttackBurningOil_G2,Ability,[400;600;630;674;700]
Abl_P_LeapAttackBurningOil_G3,Ability,[100;150;210;289;350]
Abl_P_Swing_G1,Ability,[9334;6000;3360;2567;1867]
Abl_P_SwingFreeze_G2,Ability,[400;600;630;674;700]
Abl_P_SwingFreeze_G3,Ability,[100;150;210;289;350]
Abl_P_SwingShield_G2,Ability,[400;600;630;674;700]
Abl_P_SwingShield_G3,Ability,[100;150;210;289;350]
Abl_P_PowerSlam_G1,Ability,[9334;6000;3360;2567;1867]
Abl_P_PowerSlamBurningOil_G2,Ability,[400;600;630;674;700]
Abl_P_PowerSlamBurningOil_G3,Ability,[100;150;210;289;350]
Abl_PowerSlamCoconutShield_G2,Ability,[400;600;630;674;700]
Abl_PowerSlamCoconutShield_G3,Ability,[100;150;210;289;350]
Abl_PowerSlamWide_G2,Ability,[400;600;630;674;700]
Abl_PowerSlamWide_G3,Ability,[100;150;210;289;350]
Abl_P_TeaForkShoot_G1,Ability,[14000;9000;5040;3850;2800]
Abl_P_TeaForkShootEnergyDrink_G2,Ability,[458;686;720;770;800]
Abl_P_TeaForkShootEnergyDrink_G3,Ability,[115;172;240;330;400]
Abl_P_TeaForkShootFreeze_G2,Ability,[458;686;720;770;800]
Abl_P_TeaForkShootFreeze_G3,Ability,[115;172;240;330;400]
Abl_P_TeaForkShootPlus_G2,Ability,[458;686;720;770;800]
Abl_P_TeaForkShootPlus_G3,Ability,[115;172;240;330;400]
Abl_P_TeaForkDrop_G1,Ability,[14000;9000;5040;3850;2800]
Abl_P_TeaForkDropMeat_G2,Ability,[458;686;720;770;800]
Abl_P_TeaForkDropMeat_G3,Ability,[115;172;240;330;400]
Abl_P_TeaForkDropStickyJam_G2,Ability,[458;686;720;770;800]
Abl_P_TeaForkDropStickyJam_G3,Ability,[115;172;240;330;400]
Abl_P_TeaForkDropMintCandy_G2,Ability,[458;686;720;770;800]
Abl_P_TeaForkDropMintCandy_G3,Ability,[115;172;240;330;400]
Abl_P_TeaForkDropPlus_G2,Ability,[458;686;720;770;800]
Abl_P_TeaForkDropPlus_G3,Ability,[115;172;240;330;400]
Abl_P_JamBottle_G1,Ability,[9334;6000;3360;2567;1867]
Abl_P_JamBottle_G2,Ability,[534;800;840;899;934]
Abl_P_JamBottle_G3,Ability,[134;200;280;385;467]
Abl_P_JamBottleCoconutShield_G2,Ability,[534;800;840;899;934]
Abl_P_JamBottleCoconutShield_G3,Ability,[134;200;280;385;467]
Abl_P_FireBottle_G1,Ability,[9334;6000;3360;2567;1867]
