id,abilityStartType,idleTime,attackPower,maxHp,armorValue,criticalRate,criticalMultValue,debuffResistance,attackPowerGrowth,maxHpGrowth,ability,
E_CaterpillarsMochi_01,OnPlayerIdle,0.8,8,160,0,0,2,0,0.1,0.1,[Abl_E_CaterpillarsMochi_01_Attack;-99999;-99999],
E_CaterpillarsMochi_02,OnPlayerIdle,0.8,8,160,0,0,2,0,0.1,0.1,[Abl_E_CaterpillarsMochi_02_Attack;-99999;-99999],
E_CaterpillarsMochi_Boss_01,Always,1,7,7000,0,0,2,0.6,0.1,0.1,[Abl_E_CaterpillarsMochi_Boss_01_Attack;Abl_E_CaterpillarsMochi_Boss_01_Attack;Abl_E_CaterpillarsMochi_Boss_01_Skill1],
E_CrabCoconut_01,OnPlayerIdle,1,9,1200,0,0,2,0,0.1,0.1,[Abl_E_CrabCoconut_01_Attack;Abl_E_CrabCoconut_01_Skill;-99999],
E_CrabCoconut_02,OnPlayerIdle,1,9,1200,0,0,2,0,0.1,0.1,[Abl_E_CrabCoconut_02_Attack;Abl_E_CrabCoconut_02_Skill;-99999],
E_FriedRice_01,OnPlayerIdle,1,10,400,0,0,2,0,0.1,0.1,[Abl_E_FriedRice_01_Attack;-99999;-99999],
E_FriedRice_02,OnPlayerIdle,1,5,400,0,0,2,0,0.1,0.1,[Abl_E_FriedRice_02_Attack;-99999;-99999],
E_FriedRice_Boss_01,Always,1,7,5500,0,0,2,0.6,0.1,0.1,[Abl_E_FriedRice_Boss_01_Attack;Abl_E_FriedRice_Boss_01_Attack;Abl_E_FriedRice_Boss_01_Attack2],
E_TurtleBread_01,OnPlayerIdle,0.8,4,600,0,0,2,0,0.1,0.1,[Abl_E_TurtleBread_01_Attack;-99999;-99999],
E_TurtleBread_02,OnPlayerIdle,0.4,2,600,0,0,2,0,0.1,0.1,[Abl_E_TurtleBread_02_Attack;-99999;-99999],
E_TurtleBread_Boss_01,Always,1,8,8200,0,0,2,0.6,0.1,0.1,[Abl_E_TurtleBread_Boss_01_Attack;Abl_E_TurtleBread_Boss_01_Attack;Abl_E_TurtleBread_Boss_01_Skill],
