level,requiredExp,choiceGrade,
1,20,0,
2,40,0,
3,60,0,
4,80,0,
5,100,1,
6,105,1,
7,110,1,
8,115,1,
9,120,2,
10,130,2,
11,140,2,
12,160,2,
13,180,3,
14,200,3,
15,220,3,
16,240,3,
17,260,4,
18,280,4,
19,300,4,
20,320,4,
21,320,4,
22,320,4,
23,320,4,
24,320,4,
25,320,4,
26,320,4,
27,320,4,
28,320,4,
29,320,4,
30,320,4,
31,320,4,
32,320,4,
33,320,4,
34,320,4,
35,320,4,
36,320,4,
37,320,4,
38,320,4,
39,320,4,
40,320,4,
41,320,4,
42,320,4,
43,320,4,
44,320,4,
45,320,4,
46,320,4,
47,320,4,
48,320,4,
49,320,4,
50,320,4,
