spawnId,enemyId,enemyCount,attackLevel,hpLevel,meatDropRate,meatDropCount,exp,,,플레이 타임 (초),몇 초당 한번 강화?,총 강화 횟수
stage_1,E_CaterpillarsMochi_01,6,1,1,0,3,8,,,,,
stage_1,E_CaterpillarsMochi_01,5,1,1,0.154,3,8,,,,,
stage_1,E_CaterpillarsMochi_01,1,1,1,1,3,8,,,,,
stage_1,E_CaterpillarsMochi_01,6,1,1,0,3,8,,,,,
stage_1,E_CaterpillarsMochi_01,6,1,1,0.154,3,8,,,,,
stage_1,E_CaterpillarsMochi_01,1,1,1,1,3,8,,,,,
stage_1,E_CaterpillarsMochi_01,6,1,1,0,3,8,,,,,
stage_1,E_CaterpillarsMochi_02,5,3,3,0.154,3,8,,,,,
stage_1,E_CaterpillarsMochi_02,1,3,3,1,3,8,,,,,
stage_1,E_CaterpillarsMochi_02,6,3,3,0,3,8,,,,,
stage_1,E_CaterpillarsMochi_02,5,3,3,0.154,3,8,,,,,
stage_1,E_CaterpillarsMochi_02,1,3,3,1,3,8,,,,,
stage_1,E_CaterpillarsMochi_02,6,3,3,0,3,8,,,,,
stage_1,E_CaterpillarsMochi_02,5,3,3,0.154,3,8,,,,,
stage_1,E_CaterpillarsMochi_02,1,3,3,1,3,8,,,,,
stage_1,E_FriedRice_01,4,6,6,0,3,20,,,,,
stage_1,E_FriedRice_01,4,6,6,0.4,3,20,,,,,
stage_1,E_FriedRice_01,4,6,6,0,3,20,,,,,
stage_1,E_FriedRice_01,4,6,6,0,3,20,,,,,
stage_1,E_FriedRice_01,4,6,6,0.6,3,20,,,,,
stage_1,E_CaterpillarsMochi_Boss_01,1,1,5,0.01,3,0,,,,,
stage_2,E_CaterpillarsMochi_01,6,5,5,0,3,8,,,,,
stage_2,E_CaterpillarsMochi_01,5,5,5,0.154,3,8,,,,,
stage_2,E_CaterpillarsMochi_01,1,5,5,1,3,8,,,,,
stage_2,E_CaterpillarsMochi_01,6,5,5,0,3,8,,,,,
stage_2,E_CaterpillarsMochi_01,6,5,5,0.154,3,8,,,,,
stage_2,E_CaterpillarsMochi_01,1,5,5,1,3,8,,,,,
stage_2,E_CaterpillarsMochi_01,6,5,5,0,3,8,,,,,
stage_2,E_TurtleBread_01,2,9,7,0.48,3,24,,,,,
stage_2,E_TurtleBread_01,1,9,7,1,3,24,,,,,
stage_2,E_TurtleBread_01,3,9,7,0,3,24,,,,,
stage_2,E_TurtleBread_01,2,9,7,0.48,3,24,,,,,
stage_2,E_TurtleBread_01,1,9,7,1,3,24,,,,,
stage_2,E_TurtleBread_01,3,9,7,0,3,24,,,,,
stage_2,E_TurtleBread_01,2,9,7,0.48,3,24,,,,,
stage_2,E_TurtleBread_01,1,9,7,1,3,24,,,,,
stage_2,E_CaterpillarsMochi_02,6,14,11,0,3,8,,,,,
stage_2,E_CaterpillarsMochi_02,6,14,11,0.077,3,8,,,,,
stage_2,E_CaterpillarsMochi_02,6,14,11,0,3,8,,,,,
stage_2,E_CaterpillarsMochi_02,6,14,11,0,3,8,,,,,
stage_2,E_CaterpillarsMochi_02,6,14,11,0.116,3,8,,,,,
stage_2,E_TurtleBread_02,3,18,15,0,3,24,,,,,
stage_2,E_TurtleBread_02,3,18,15,0.24,3,24,,,,,
stage_2,E_TurtleBread_02,3,18,15,0,3,24,,,,,
stage_2,E_TurtleBread_02,3,18,15,0,3,24,,,,,
stage_2,E_TurtleBread_02,3,18,15,0.36,3,24,,,,,
stage_2,E_CaterpillarsMochi_01,6,21,17,0,3,8,,,,,
stage_2,E_CaterpillarsMochi_01,6,21,17,0.039,3,8,,,,,
stage_2,E_CaterpillarsMochi_01,6,21,17,0,3,8,,,,,
stage_2,E_CaterpillarsMochi_01,6,21,17,0,3,8,,,,,
stage_2,E_CaterpillarsMochi_01,6,21,17,0.062,3,8,,,,,
stage_2,E_TurtleBread_01,3,24,19,0,3,24,,,,,
stage_2,E_TurtleBread_01,3,24,19,0.12,3,24,,,,,
stage_2,E_TurtleBread_01,3,24,19,0,3,24,,,,,
stage_2,E_TurtleBread_01,3,24,19,0,3,24,,,,,
stage_2,E_TurtleBread_01,3,24,19,0.192,3,24,,,,,
stage_2,E_TurtleBread_02,3,27,21,0,3,24,,,,,
stage_2,E_TurtleBread_02,3,27,21,0.12,3,24,,,,,
stage_2,E_TurtleBread_02,3,27,21,0,3,24,,,,,
stage_2,E_TurtleBread_02,3,27,21,0,3,24,,,,,
stage_2,E_TurtleBread_02,3,27,21,0.192,3,24,,,,,
stage_2,E_TurtleBread_Boss_01,1,12,21,0,3,0,,,,,
stage_3,E_TurtleBread_01,2,8,8,0,3,24,,,,,
stage_3,E_FriedRice_01,1,8,8,0,3,20,,,,,
stage_3,E_TurtleBread_01,2,8,8,0.48,3,24,,,,,
stage_3,E_FriedRice_01,1,8,8,0,3,20,,,,,
stage_3,E_TurtleBread_01,2,8,8,0,3,24,,,,,
stage_3,E_FriedRice_01,1,8,8,0,3,20,,,,,
stage_3,E_TurtleBread_01,2,8,8,0.72,3,24,,,,,
stage_3,E_FriedRice_01,1,8,8,0,3,20,,,,,
stage_3,E_TurtleBread_02,3,12,10,0,3,24,,,,,
stage_3,E_TurtleBread_02,3,12,10,0.48,3,24,,,,,
stage_3,E_TurtleBread_02,3,12,10,0,3,24,,,,,
stage_3,E_TurtleBread_02,3,12,10,0,3,24,,,,,
stage_3,E_TurtleBread_02,3,12,10,0.72,3,24,,,,,
stage_3,E_FriedRice_02,3,17,14,0,3,20,,,,,
stage_3,E_FriedRice_02,3,17,14,0.2,3,20,,,,,
stage_3,E_FriedRice_02,3,17,14,0,3,20,,,,,
stage_3,E_FriedRice_02,3,17,14,0,3,20,,,,,
stage_3,E_FriedRice_02,3,17,14,0.3,3,20,,,,,
stage_3,E_TurtleBread_01,2,21,18,0,3,24,,,,,
stage_3,E_FriedRice_01,1,21,18,0,3,20,,,,,
stage_3,E_TurtleBread_01,2,21,18,0.24,3,24,,,,,
stage_3,E_FriedRice_01,1,21,18,0,3,20,,,,,
stage_3,E_TurtleBread_01,2,21,18,0,3,24,,,,,
stage_3,E_FriedRice_01,1,21,18,0,3,20,,,,,
stage_3,E_TurtleBread_01,2,21,18,0.36,3,24,,,,,
stage_3,E_FriedRice_01,1,21,18,0,3,20,,,,,
stage_3,E_TurtleBread_02,3,25,21,0,3,24,,,,,
stage_3,E_TurtleBread_02,3,25,21,0.24,3,24,,,,,
stage_3,E_TurtleBread_02,3,25,21,0,3,24,,,,,
stage_3,E_TurtleBread_02,3,25,21,0,3,24,,,,,
stage_3,E_TurtleBread_02,3,25,21,0.36,3,24,,,,,
stage_3,E_FriedRice_02,3,29,24,0,3,20,,,,,
stage_3,E_FriedRice_02,3,29,24,0.2,3,20,,,,,
stage_3,E_FriedRice_02,3,29,24,0,3,20,,,,,
stage_3,E_FriedRice_02,3,29,24,0,3,20,,,,,
stage_3,E_FriedRice_02,3,29,24,0.3,3,20,,,,,
stage_3,E_TurtleBread_02,1,33,27,0,3,24,,,,,
stage_3,E_FriedRice_02,2,33,27,0,3,20,,,,,
stage_3,E_TurtleBread_02,1,33,27,0,3,24,,,,,
stage_3,E_FriedRice_02,2,33,27,0.2,3,20,,,,,
stage_3,E_TurtleBread_02,1,33,27,0,3,24,,,,,
stage_3,E_FriedRice_02,2,33,27,0,3,20,,,,,
stage_3,E_TurtleBread_02,1,33,27,0,3,24,,,,,
stage_3,E_FriedRice_02,2,33,27,0.3,3,20,,,,,
stage_3,E_FriedRice_Boss_01,1,17,25,0,3,0,,,,,
stage_4,E_FriedRice_01,3,11,11,0,3,20,,,,,
stage_4,E_FriedRice_01,3,11,11,0.4,3,20,,,,,
stage_4,E_FriedRice_01,3,11,11,0,3,20,,,,,
stage_4,E_FriedRice_01,3,11,11,0,3,20,,,,,
stage_4,E_FriedRice_01,3,11,11,0.6,3,20,,,,,
stage_4,E_CrabCoconut_01,2,15,13,0,3,36,,,,,
stage_4,E_FriedRice_01,3,15,13,0.4,3,20,,,,,
stage_4,E_CrabCoconut_01,2,15,13,0,3,36,,,,,
stage_4,E_FriedRice_01,3,15,13,0,3,20,,,,,
stage_4,E_CrabCoconut_01,2,15,13,0,3,36,,,,,
stage_4,E_FriedRice_01,3,15,13,0.6,3,20,,,,,
