statusEffectType,buffType,statusEffectTarget,attackObjectId,characterStatusParticleId,characterStatusParticlePointId,seatStatusParticleId,seatStatusParticlePointId,sfxId,targetParticleId,targetSfxId,statusEffectNameText,statusEffectExplanationText,maxStackCount,statusEffectValue,statusEffectDuration,values
Damage,None,Character,-99999,-99999,Default,-99999,Default,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,[-99999;-99999;-99999;-99999;-99999]
Summon,None,Seat,-99999,-99999,Default,-99999,Default,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,[-99999;-99999;-99999;-99999;-99999]
Freeze,Debuff,Character,-99999,VFX_Status_Freeze_0,Default,-99999,Default,SFX_StatusEffect_Freeze_Ice_Object_Pop_Up,-99999,-99999,StatusEffect/Name/Freeze,StatusEffect/Exp/Freeze,5,-99999,0.75,[-99999;-99999;-99999;-99999;-99999]
BurningOil,Debuff,Seat,-99999,-99999,Default,VFX_Status_BurningOil_0,Ground,SFX_StatusEffect_BurningOil_Elemental_-_Fire_Movement_1,-99999,-99999,StatusEffect/Name/BurningOil,StatusEffect/Exp/BurningOil,5,1,1.5,[0.5;-99999;-99999;-99999;-99999]
StickyJam,Debuff,Seat,-99999,-99999,Default,VFX_Status_StickyJam_0,Default,SFX_StatusEffect_StickyJam_Goo_Harvest_1,-99999,-99999,StatusEffect/Name/StickyJam,StatusEffect/Exp/StickyJam,5,-0.5,1.5,[-99999;-99999;-99999;-99999;-99999]
Chili,Buff,Character,-99999,-99999,Default,-99999,Default,-99999,-99999,-99999,StatusEffect/Name/Chili,StatusEffect/Exp/Chili,5,1,-99999,[-99999;-99999;-99999;-99999;-99999]
BombChili,Buff,Character,-99999,-99999,Default,-99999,Default,-99999,VFX_Hit_BombChili_0,SFX_Hit_BombChili_Small_Explosion,StatusEffect/Name/BombChili,StatusEffect/Exp/BombChili,5,1,-99999,[0.2;-99999;-99999;-99999;-99999]
Shield,Buff,Character,-99999,VFX_Status_Shield_0,Default,-99999,Default,-99999,-99999,-99999,StatusEffect/Name/Shield,StatusEffect/Exp/Shield,5,0.5,-99999,[-99999;-99999;-99999;-99999;-99999]
EnergyDrink,Buff,Character,-99999,-99999,Default,-99999,Default,-99999,-99999,-99999,StatusEffect/Name/EnergyDrink,StatusEffect/Exp/EnergyDrink,5,0.5,-99999,[-99999;-99999;-99999;-99999;-99999]
Meat,Buff,Character,-99999,-99999,Default,-99999,Default,-99999,-99999,-99999,StatusEffect/Name/Meat,StatusEffect/Exp/Meat,5,0.05,0.2,[0.2;-99999;-99999;-99999;-99999]
MintCandy,Buff,Character,-99999,-99999,Default,-99999,Default,-99999,-99999,-99999,StatusEffect/Name/MintCandy,StatusEffect/Exp/MintCandy,5,1,-99999,[-99999;-99999;-99999;-99999;-99999]
KitchenKnife,Buff,Character,-99999,-99999,Default,-99999,Default,-99999,-99999,-99999,StatusEffect/Name/KitchenKnife,StatusEffect/Exp/KitchenKnife,100,0.1,-99999,[-99999;-99999;-99999;-99999;-99999]
CookingTimer,Buff,Character,-99999,-99999,Default,-99999,Default,-99999,-99999,-99999,StatusEffect/Name/CookingTimer,StatusEffect/Exp/CookingTimer,100,0.1,-99999,[-99999;-99999;-99999;-99999;-99999]
PepperShaker,Buff,Character,-99999,-99999,Default,-99999,Default,-99999,-99999,-99999,StatusEffect/Name/PepperShaker,StatusEffect/Exp/PepperShaker,100,0.1,-99999,[-99999;-99999;-99999;-99999;-99999]
Tomato,Buff,Character,-99999,-99999,Default,-99999,Default,-99999,-99999,-99999,StatusEffect/Name/Tomato,StatusEffect/Exp/Tomato,100,0.1,-99999,[-99999;-99999;-99999;-99999;-99999]
Apron,Buff,Character,-99999,-99999,Default,-99999,Default,-99999,-99999,-99999,StatusEffect/Name/Apron,StatusEffect/Exp/Apron,100,0.1,-99999,[-99999;-99999;-99999;-99999;-99999]
Boots,Buff,Character,-99999,-99999,Default,-99999,Default,-99999,-99999,-99999,StatusEffect/Name/Boots,StatusEffect/Exp/Boots,100,0.1,-99999,[-99999;-99999;-99999;-99999;-99999]
Kettle,None,Seat,AO_P_KettleDrop,-99999,Default,-99999,Default,-99999,VFX_Hit_Ground_Medium_Kettle_0,SFX_Hit_Kettle_MetalHitRingSoft_PE1054805,StatusEffect/Name/Kettle,StatusEffect/Exp/Kettle,100,2.5,-99999,[0;-99999;-99999;-99999;-99999]
CookingHat,Buff,Character,-99999,-99999,Default,-99999,Default,-99999,-99999,-99999,StatusEffect/Name/CookingHat,StatusEffect/Exp/CookingHat,100,0.1,-99999,[-99999;-99999;-99999;-99999;-99999]
