group,key,English,Korean,중복 체크
#그룹,#키,영어 텍스트<br>(쌍따옴표 (") 쓰면 안 됨.),한글 텍스트,메모
Common,Yes,Yes,예,-99999
Common,No,No,아니오,-99999
Common,OK,OK,확인,-99999
Common,Cancel,Cancel,취소,-99999
Common,Error,Error,오류,-99999
Common,Warning,Warning,경고,-99999
Common,Notice,Notice,알림,-99999
Common,Grade/None,None,없음,-99999
Common,Grade/Common,Common,일반,-99999
Common,Grade/Great,Great,우수,-99999
Common,Grade/Rare,Rare,희귀,-99999
Common,Grade/Epic,Epic,에픽,-99999
Common,Grade/Epic1,Epic +1,에픽 +1,-99999
Common,Grade/Epic2,Epic +2,에픽 +2,-99999
Common,Grade/Legendary,Legendary,전설,-99999
Common,Grade/Legendary1,Legendary +1,전설 +1,-99999
Common,Grade/Legendary2,Legendary +2,전설 +2,-99999
Common,Grade/Legendary3,Legendary +3,전설 +3,-99999
Common,Grade/Mythic,Mythic,신화,-99999
Common,Grade/Mythic1,Mythic +1,신화 +1,-99999
Common,Grade/Mythic2,Mythic +2,신화 +2,-99999
Common,Grade/Mythic3,Mythic +3,신화 +3,-99999
Common,Grade/Mythic4,Mythic +4,신화 +4,-99999
Common,EquipmentType/Weapon,Weapon,무기,-99999
Common,EquipmentType/Armor,Armor,방어구,-99999
Common,EquipmentType/Ring,Ring,반지,-99999
Common,EquipmentType/Accessories,Accessories,장신구,-99999
Common,TapToClose,Tap to close,탭하여 닫기,-99999
Account,LinkFailed,Failed to link account,계정 연동 실패,-99999
Account,AnonymousSignOutWarning,Game data of guest account will be deleted if you sign out.<br> Do you really want to sign out?,게스트 계정에서 로그아웃하면 모든 정보가 삭제됩니다.<br> 정말로 로그아웃하시겠습니까?,-99999
Account,SignOutWarning,Do you really want to sign out?,정말로 로그아웃하시겠습니까?,-99999
Account,WithdrawWarning,When you delete your account<c> all data collected by the game is deleted and cannot be recovered. <br> Any data stored on your device will also be deleted. <br> Are you sure you want to delete your account? <br> <br> <size=70%> All data includes personal information such as email<c> nickname<c> and PID<c> please check our Privacy Policy for details.,계정 삭제시 게임이 수집하는 모든 데이터가 삭제되며 복구가 불가능합니다. <br> 또한<c> 기기에 저장된 데이터도 모두 초기화됩니다. <br> 정말로 계정을 삭제하시겠습니까? <br> <br> <size=70%> 모든 데이터엔 이메일<c> 닉네임<c> PID 등의 개인정보가 포함되며 상세한 항목은 개인정보 처리방침을 확인해주시기 바랍니다.,-99999
Account,AccountChangeWarning,Game data of current account will be deleted if you sign in to the other account.<br> Do you really want to sign in?,다른 계정으로 로그인하면 현재 계정의 모든 데이터가 삭제되며 복구가 불가능합니다.<br> 정말로 다른 계정으로 로그인하시겠습니까?,-99999
Account,RestartGame,Please restart the game.,게임을 다시 시작해주세요.,-99999
TextFilter,BlankSpace,Blank spaces are not allowed.,공백 문자는 사용할 수 없습니다.,-99999
TextFilter,InvalidCharacter,You can't use special characters.,특수 문자는 사용할 수 없습니다.,-99999
TextFilter,BannedWordIncluded,Contains an unavailable word.,사용할 수 없는 단어가 포함되어있습니다.,-99999
TextFilter,InvalidLength,Your nickname must be least 4 characters and no more than 20 characters.,닉네임은 4자 이상 20자 이하여야 합니다.,-99999
SystemUI,ToastMessage/NotEnough,Not enough {[property]},{[property]}이(가) 부족합니다.,-99999
UI,Dmg/Critical,<size=110%><sprite name=Damage_Critical><color=#ff6f16>Critical Hit</color></size>,<size=110%><sprite name=Damage_Critical><color=#ff6f16>치명타</color></size>,-99999
UI,Dmg/Normal,<sprite name=Damage_Normal><color=#ff6f16>Damage</color>,<sprite name=Damage_Normal><color=#ff6f16>피해</color>,-99999
UI,Abl/MainWeapon,<sprite name=Skill_MainWeapon><color=#5c482f>Melee</color>,<sprite name=Skill_MainWeapon><color=#5c482f>근접</color>,-99999
UI,Abl/Teafork,<sprite name=Skill_Teafork><color=#5c482f>Tea fork</color>,<sprite name=Skill_Teafork><color=#5c482f>티 포크</color>,-99999
UI,Abl/Jar,<sprite name=Skill_Jar><color=#5c482f>Jar</color>,<sprite name=Skill_Jar><color=#5c482f>병</color>,-99999
UI,Abl/Snack,<sprite name=Skill_Snack><color=#5c482f>Snack</color>,<sprite name=Skill_Snack><color=#5c482f>간식</color>,-99999
UI,Abl/HotSauce,<sprite name=Skill_Teafork><color=#5c482f>Hot Sauce</color>,<sprite name=Skill_Teafork><color=#5c482f>핫 소스</color>,-99999
UI,Abl/Passive,<sprite name=Skill_Passive><color=#5c482f>Passive</color>,<sprite name=Skill_Passive><color=#5c482f>패시브</color>,-99999
UI,Sta/Freeze,<sprite name=Status_Freeze><color=#00baff>Freeze</color>,<sprite name=Status_Freeze><color=#00baff>동결</color>,-99999
UI,Sta/BurningOil,<sprite name=Status_Flame><color=#ff6f16>Burning Oil</color>,<sprite name=Status_Flame><color=#ff6f16>불 붙은 기름</color>,-99999
UI,Sta/StickyJam,<sprite name=Status_Jam><color=#f4b900>Sticky Jam</color>,<sprite name=Status_Jam><color=#f4b900>끈적이는 잼</color>,-99999
UI,Sta/Kettle,<sprite name=Status_Kettle><color=#f4b900>Kettle</color>,<sprite name=Status_Kettle><color=#f4b900>주전자</color>,-99999
UI,Sta/Chili,<sprite name=Status_BombChili><color=#ff6f16>Bomb Chili</color>,<sprite name=Status_BombChili><color=#ff6f16>폭탄 칠리</color>,-99999
UI,Sta/BombChili,<sprite name=Status_BombChili><color=#ff6f16>Bomb Chili</color>,<sprite name=Status_BombChili><color=#ff6f16>폭탄 칠리</color>,-99999
UI,Sta/Shield,<sprite name=Status_CoconutShield><color=#f4b900>Coconut Shield</color>,<sprite name=Status_CoconutShield><color=#f4b900>코코넛 쉴드</color>,-99999
UI,Sta/EnergyDrink,<sprite name=Status_EnergyDrink><color=#f4b900>Energy Drink</color>,<sprite name=Status_EnergyDrink><color=#f4b900>에너지 드링크</color>,-99999
UI,Sta/Meat,<sprite name=Status_Meat><color=#f4b900>Well-cooked Meat</color>,<sprite name=Status_Meat><color=#f4b900>잘 구운 고기</color>,-99999
UI,Sta/MintCandy,<sprite name=Status_MintCandy><color=#00baff>Mint Candy</color>,<sprite name=Status_MintCandy><color=#00baff>민트 사탕</color>,-99999
UI,Sta/KitchenKnife,<sprite name=Status_Knife><color=#ff6f16>Kitchen Knife</color>,<sprite name=Status_Knife><color=#ff6f16>식칼</color>,-99999
UI,Sta/CookingTimer,<sprite name=Status_CookingTimer><color=#00baff>Cooking Timer</color>,<sprite name=Status_CookingTimer><color=#00baff>쿠킹 타이머</color>,-99999
UI,Sta/PepperShaker,<sprite name=Status_PepperShaker><color=#ff6f16>Pepper Shaker</color>,<sprite name=Status_PepperShaker><color=#ff6f16>후추 통</color>,-99999
UI,Sta/Tomato,<sprite name=Status_Tomato><color=#73e312>Tomato</color>,<sprite name=Status_Tomato><color=#73e312>토마토</color>,-99999
UI,Sta/Apron,<sprite name=Status_Apron><color=#ff6f16>Apron</color>,<sprite name=Status_Apron><color=#ff6f16>앞치마</color>,-99999
UI,Sta/CookingHat,<sprite name=Status_CookingHat><color=#00baff>Cooking Hat</color>,<sprite name=Status_CookingHat><color=#00baff>요리 모자</color>,-99999
UI,Sta/Boots,<sprite name=Status_Boots><color=#00baff>Boots</color>,<sprite name=Status_Boots><color=#00baff>장화</color>,-99999
UI,Levelbar/Text,LV.{[value]},LV.{[value]},-99999
UI,SelectPopup/Bench/Default,Drag the skill to equip it where you want,스킬을 드래그해서 원하는 위치에 장착하세요,-99999
UI,SelectPopup/Bench/Full,<color=#FF7D5A>There is not enough space left! Please drag the skills to the trash can</color>,<color=#FF7D5A>대기 공간이 부족합니다! 스킬을 드래그해서 휴지통에 버려주세요</color>,-99999
UI,SelectPopup/ChainBonus,<sprite name=Status_CookingTimer><color=#00baff>Attack Speed</color><br>{[value]}% <sprite name=UI_Arrow_Up_White>,<sprite name=Status_CookingTimer><color=#00baff>공격 속도</color><br>{[value]}% <sprite name=UI_Arrow_Up_White>,-99999
UI,SelectPopup/Select,Select a skill,스킬을 선택하세요,-99999
UI,SelectPopup/Complete,Complete,완료,-99999
UI,PassivePopup/Title,Passive skills learned,학습한 패시브 스킬,-99999
UI,PassivePopup/DesEmpty,Does not have any passive skills,패시브 스킬을 보유하지 않았습니다,-99999
UI,StageResultPopup/Title/Win,WIN,승리,-99999
UI,StageResultPopup/Title/Lose,LOSE,패배,-99999
UI,StageResultPopup/Rewards,REWARDS,보상,-99999
Lobby,CurrentStageCard/Name/Stage1,{[value]}. Fishing Forest,{[value]}. 낚시터 숲,-99999
Lobby,CurrentStageCard/Name/Stage2,{[value]}. Cheese Kitchen,{[value]}. 치즈 부엌,-99999
Lobby,CurrentStageCard/HighestProgress,Highest record: <color=#FFEF84>{[value]}%</color>,최고 기록 : <color=#FFEF84>{[value]}%</color>,-99999
Lobby,ButtonGameStart/ResourceText,<sprite name=Property_Stamina> x{[value]},<sprite name=Property_Stamina> x{[value]},-99999
Lobby,BottomToggles/Shop,Shop,상점,-99999
Lobby,BottomToggles/Equipment,Equipment,장비,-99999
Lobby,BottomToggles/Main,Main,모험,-99999
Lobby,BottomToggles/Challenge,Challenge,도전,-99999
Lobby,BottomToggles/Evolution,Evolution,진화,-99999
Lobby,BonusButton,Bonus,보너스,-99999
Lobby,TravelButton,Travel,탐방,-99999
Lobby,StartButton,Start,시작,-99999
Lobby,DefaultUserID,AlohaCat,알로하냥,-99999
Lobby,SideButton/Growth,Growth,성장,-99999
Lobby,SideButton/Package,Package,패키지,-99999
Equipment,StatBonus/AttackPower,Attack <color=#10BC0F>+{[value]}</color>,공격력 <color=#10BC0F>+{[value]}</color>,-99999
Equipment,StatBonus/MaxHp,Health <color=#10BC0F>+{[value]}</color>,체력 <color=#10BC0F>+{[value]}</color>,-99999
Equipment,StatBonus/Armor,Defense <color=#10BC0F>+{[value]}</color>,방어력 <color=#10BC0F>+{[value]}</color>,-99999
Equipment,FilterButton/Rarity,Quality,등급,-99999
Equipment,FilterButton/Part,Slot,부위,-99999
Equipment,FilterButton/Acquisition,Acquisition,획득,-99999
Equipment,MergeButton,Merge,합성,-99999
Equipment,ListTitle/Scroll,Equipment Scrolls,장비 스크롤,-99999
Equipment,ListTitle/Material,Equipment Materials,장비 재료,-99999
Equipment,Icon/Level,LV.{[value]},LV.{[value]},-99999
Equipment,Icon/Grade,+{[value]},+{[value]},-99999
Equipment,Merge/Toast/NotingToMerge,There are no equipments that can be merged,합성 가능한 장비가 존재하지 않습니다,-99999
Equipment,Part/Weapon,Weapon,무기,-99999
Equipment,Part/Body,Armor,방어구,-99999
Equipment,Part/Ring,Ring,반지,-99999
Equipment,Part/Accessories,Accessories,장신구,-99999
Equipment,BatchMergeButton,Quick Merge,일괄 합성,-99999
Shop,RandomBox/Obtain,Get {[value]},얻기 x{[value]},-99999
Shop,RandomBox/Card/Supply/Name,Supply Box,보급 상자,-99999
Shop,RandomBox/Card/HighQuality/Name,High-Quality Box,고급 상자,-99999
Shop,RandomBox/Card/Legendary/Name,Legendary Box,이벤트 전설 상자,-99999
Shop,RandomBox/Card/Supply/Description,<color=#8F7F6B>Common</color><c> <color=#0ABC06>Great</color> equipment included,<color=#8F7F6B>일반</color><c> <color=#0ABC06>우수</color> 장비 포함,-99999
